[caco-web-dev] serving /Users/harryaskham/.cacophony/agents/cacophony/ms-mac-cacophony-caco-web/checkout/crates/caco-web/static at http://127.0.0.1:64961 (proxy daemon: http://127.0.0.1:11100)
[caco-web-dev] pass --port 0 for parallel-safe OS-assigned ports
[caco-web] req=1 GET / -> 200 8ms
[caco-web] req=2 GET /vendor/xterm/xterm.min.css -> 200 2ms
[caco-web] req=4 GET /style.css -> 200 3ms
[caco-web] req=6 GET /summaries.css -> 200 3ms
[caco-web] req=3 GET /vendor/xterm/xterm-addon-attach.min.js -> 200 3ms
[caco-web] req=8 GET /vendor/xterm/xterm.min.js -> 200 3ms
[caco-web] req=5 GET /timeline.css -> 200 3ms
[caco-web] req=7 GET /vendor/xterm/xterm-addon-fit.min.js -> 200 3ms
[caco-web] req=10 GET /vendor/xterm/xterm-addon-search.min.js -> 200 6ms
[caco-web] req=9 GET /vendor/xterm/xterm-addon-web-links.min.js -> 200 6ms
[caco-web] req=11 GET /workspace-overlay.js -> 200 6ms
[caco-web] req=12 GET /app.js -> 200 6ms
[caco-web] req=13 GET /kitty-graphics.js -> 200 5ms
[caco-web] req=14 GET /workspace-terminal-pane.js -> 200 5ms
[caco-web] req=15 GET /timeline.js -> 200 5ms
[caco-web] req=18 GET /workspace-panes.js -> 200 2ms
[caco-web] req=17 GET /workspace-integrated.js -> 200 3ms
[caco-web] req=16 GET /summaries.js -> 200 4ms
[caco-web] req=20 GET /health -> 200 0ms
[caco-web] req=22 GET /api/v1/ui/stream -> 200 3ms
[caco-web] req=23 GET /api/v1/logs/stream?follow=true -> 200 38ms
[caco-web] req=21 GET /api/v1/merge-queue?since=24h -> 200 259ms
[caco-web] req=19 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=24 GET /api/v1/ui/snapshot -> 200 8001ms
[caco-web] req=26 GET /api/v1/node -> 200 1077ms
[caco-web] req=27 GET /api/v1/ui/stream -> 200 0ms
[caco-web] req=25 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=28 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=29 GET /api/v1/web/codespaces -> 200 384ms
[caco-web] req=30 GET /api/v1/ui/snapshot -> 200 7816ms
[caco-web] req=32 GET /api/v1/speech/agent-audio -> 200 1ms
[caco-web] req=33 GET /api/v1/tts/status -> 200 1ms
[caco-web] req=34 GET /api/v1/tts/voices -> 200 1ms
[caco-web] req=35 GET /api/v1/nodes/ms-dev -> 200 2ms
[caco-web] req=36 GET /api/v1/nodes/pocket4 -> 200 3ms
[caco-web] req=37 GET /api/v1/nodes/helsinki -> 200 7ms
